股票代码,数据周期,周期名称,低换手日期,低换手率,低换手价格,最低价日期,最低价,周期差,是否同周期,分析周期数,有效周期数,最大跌幅%,备注
sh.600004,M,月,2023-11-30,7.5388,11.03,2024-02-29,8.99,3,否,6,5,-18.4950135992747,后3月
sh.600004,M,月,2024-08-30,8.6206,9.13,2024-09-30,8.45,1,否,6,5,-7.44797371303397,后1月
sh.600004,M,月,2025-06-30,8.8924,9.1,2025-07-31,9.03,1,否,6,5,-0.7692307692307724,后1月
sh.600004,M,月,2023-10-31,9.2338,10.59,2024-02-29,8.99,4,否,6,5,-15.108593012275728,后4月
sh.600004,M,月,2025-01-27,9.7428,9.38,2025-04-30,8.34,3,否,6,5,-11.087420042643933,后3月
sh.600004,M,月,2024-06-28,10.0743,9.48,2024-09-30,8.45,3,否,6,5,-10.864978902953599,后3月
sh.600004,M,月,2025-02-28,10.6769,9.11,2025-04-30,8.34,2,否,6,5,-8.452250274423706,后2月
sh.600004,M,月,2023-09-28,11.1999,11.2,2024-02-29,8.99,5,否,6,5,-19.73214285714285,后5月
sh.600004,M,月,2022-10-31,11.6767,13.94,2022-10-31,13.0,0,是,6,5,-6.74318507890961,同月
sh.600004,M,月,2023-12-29,11.6945,9.78,2024-02-29,8.99,2,否,6,5,-8.077709611451935,后2月
sh.600006,M,月,2022-02-28,10.0537,6.13,2022-04-29,4.1,2,否,6,5,-33.11582381729201,后2月
sh.600006,M,月,2023-09-28,11.313,5.56,2024-02-29,4.83,5,否,6,5,-13.129496402877692,后5月
sh.600006,M,月,2022-10-31,11.9886,5.47,2022-10-31,5.33,0,是,6,5,-2.5594149908592265,同月
sh.600006,M,月,2022-04-29,12.2063,4.64,2022-04-29,4.1,0,是,6,5,-11.63793103448276,同月
sh.600006,M,月,2022-03-31,12.2083,5.46,2022-04-29,4.1,1,否,6,5,-24.908424908424916,后1月
sh.600006,M,月,2023-01-31,12.7946,6.02,2023-04-28,5.26,3,否,6,5,-12.62458471760797,后3月
sh.600006,M,月,2023-02-28,15.6622,6.07,2023-04-28,5.26,2,否,6,5,-13.344316309719941,后2月
sh.600006,M,月,2022-01-28,15.7255,6.04,2022-04-29,4.1,3,否,6,5,-32.119205298013256,后3月
sh.600006,M,月,2023-04-28,16.5554,5.76,2023-04-28,5.26,0,是,6,5,-8.680555555555555,同月
sh.600006,M,月,2023-06-30,18.1488,5.91,2023-08-31,5.41,2,否,6,5,-8.460236886632826,后2月
sh.600009,M,月,2025-05-30,6.3987,32.36,2025-06-30,31.07,1,否,6,5,-3.986402966625461,后1月
sh.600009,M,月,2024-08-30,6.4341,33.13,2024-09-30,29.74,1,否,6,5,-10.232417748264425,后1月
sh.600009,M,月,2025-06-30,6.5986,31.77,2025-06-30,31.07,0,是,6,5,-2.2033364809568754,同月
sh.600009,M,月,2025-01-27,6.646,33.16,2025-04-30,29.68,3,否,6,5,-10.49457177322074,后3月
sh.600009,M,月,2024-06-28,7.2886,32.25,2024-09-30,29.74,3,否,6,5,-7.7829457364341135,后3月
sh.600009,M,月,2023-11-30,7.6095,35.88,2024-01-31,30.74,2,否,6,5,-14.32552954292086,后2月
sh.600009,M,月,2025-10-31,7.6397,32.29,2025-10-31,31.2,0,是,2,1,-3.375658098482502,同月
