股票代码,数据周期,周期名称,低换手日期,低换手率,低换手价格,最低价日期,最低价,周期差,是否同周期,分析周期数,有效周期数,最大跌幅%,备注
sh.600004,W,周,2025-01-27,0.529,9.38,2025-03-14,8.98,6,否,10,9,-4.26439232409382,后6周
sh.600004,W,周,2023-05-05,1.2485,15.18,2023-05-26,13.1,3,否,10,9,-13.70223978919631,后3周
sh.600004,W,周,2024-09-20,1.2512,8.71,2024-09-20,8.45,0,是,10,9,-2.985074626865689,同周
sh.600004,W,周,2025-09-30,1.3469,9.48,2025-09-30,9.32,0,是,10,9,-1.6877637130801704,同周
sh.600004,W,周,2024-08-30,1.5977,9.13,2024-09-20,8.45,3,否,10,9,-7.44797371303397,后3周
sh.600004,W,周,2025-10-10,1.6175,9.55,2025-10-17,9.35,1,否,9,8,-2.094240837696346,后1周
sh.600004,W,周,2023-11-24,1.6601,10.91,2024-01-12,9.09,7,否,10,9,-16.681943171402384,后7周
sh.600004,W,周,2023-11-17,1.6903,10.91,2024-01-12,9.09,8,否,10,9,-16.681943171402384,后8周
sh.600004,W,周,2025-02-07,1.6924,9.31,2025-04-11,8.34,9,否,10,9,-10.418904403866817,后9周
sh.600004,W,周,2025-06-06,1.7211,9.44,2025-07-04,9.03,4,否,10,9,-4.343220338983053,后4周
sh.600006,W,周,2025-01-27,1.5494,6.65,2025-01-27,6.65,0,是,10,9,0.0,同周
sh.600006,W,周,2023-05-05,1.6987,5.7,2023-05-26,5.46,3,否,10,9,-4.210526315789477,后3周
sh.600006,W,周,2023-09-28,1.9433,5.56,2023-09-28,5.48,0,是,10,9,-1.4388489208632946,同周
sh.600006,W,周,2023-06-21,2.1839,5.77,2023-08-25,5.41,9,否,10,9,-6.239168110918534,后9周
sh.600006,W,周,2023-04-07,2.3735,5.66,2023-04-28,5.26,3,否,10,9,-7.067137809187285,后3周
sh.600006,W,周,2023-09-22,2.6637,5.6,2023-09-28,5.48,1,否,10,9,-2.142857142857129,后1周
sh.600006,W,周,2024-01-05,2.7552,5.67,2024-02-08,4.83,5,否,10,9,-14.814814814814811,后5周
sh.600006,W,周,2024-01-12,2.7738,5.56,2024-02-08,4.83,4,否,10,9,-13.129496402877692,后4周
sh.600006,W,周,2024-09-20,2.8521,5.79,2024-09-20,5.59,0,是,10,9,-3.4542314335060476,同周
sh.600006,W,周,2023-09-08,3.0142,5.57,2023-09-28,5.48,3,否,10,9,-1.6157989228007157,后3周
sh.600009,W,周,2025-01-27,0.366,33.16,2025-03-14,31.96,6,否,10,9,-3.6188178528347286,后6周
sh.600009,W,周,2025-04-30,0.8243,32.1,2025-06-27,31.07,8,否,10,9,-3.2087227414330255,后8周
sh.600009,W,周,2025-09-30,1.0043,31.89,2025-10-24,31.2,3,否,10,9,-2.1636876763875863,后3周
sh.600009,W,周,2023-05-05,1.011,52.46,2023-06-09,44.82,5,否,10,9,-14.563476934807474,后5周
sh.600009,W,周,2024-09-20,1.0399,31.0,2024-09-20,29.74,0,是,10,9,-4.064516129032263,同周
sh.600009,W,周,2025-10-10,1.0531,31.88,2025-10-24,31.2,2,否,9,8,-2.132998745294855,后2周
sh.600009,W,周,2025-02-07,1.1052,33.3,2025-04-11,29.68,9,否,10,9,-10.870870870870863,后9周
sh.600009,W,周,2024-09-06,1.139,32.44,2024-09-20,29.74,2,否,10,9,-8.323057953144266,后2周
sh.600009,W,周,2024-08-30,1.1854,33.13,2024-09-20,29.74,3,否,10,9,-10.232417748264425,后3周
sh.600009,W,周,2023-06-21,1.2438,47.29,2023-08-25,38.71,9,否,10,9,-18.14337069147811,后9周
sh.600010,W,周,2023-05-05,1.0328,1.8,2023-06-30,1.77,8,否,10,9,-1.666666666666668,后8周
sh.600010,W,周,2024-09-20,1.0867,1.39,2024-09-20,1.37,0,是,10,9,-1.4388489208632946,同周
sh.600010,W,周,2023-06-21,1.213,1.79,2023-08-25,1.76,9,否,10,9,-1.6759776536312863,后9周
sh.600010,W,周,2024-08-16,1.3161,1.44,2024-09-13,1.37,4,否,10,9,-4.8611111111111,后4周
sh.600010,W,周,2024-04-30,1.3404,1.6,2024-06-28,1.37,8,否,10,9,-14.374999999999998,后8周
sh.600010,W,周,2024-09-06,1.3684,1.41,2024-09-13,1.37,1,否,10,9,-2.8368794326241007,后1周
sh.600010,W,周,2025-01-27,1.43,1.78,2025-01-27,1.77,0,是,10,9,-0.5617977528089892,同周
sh.600010,W,周,2023-09-28,1.4786,1.72,2023-10-27,1.52,3,否,10,9,-11.627906976744184,后3周
sh.600010,W,周,2024-08-30,1.4833,1.44,2024-09-13,1.37,2,否,10,9,-4.8611111111111,后2周
sh.600010,W,周,2024-08-23,1.4837,1.42,2024-09-13,1.37,3,否,10,9,-3.521126760563368,后3周
sh.600011,W,周,2025-01-27,0.4805,6.44,2025-01-27,6.27,0,是,10,9,-2.6397515527950435,同周
sh.600011,W,周,2025-02-07,1.1088,6.49,2025-02-14,6.34,1,否,10,9,-2.311248073959944,后1周
sh.600011,W,周,2024-09-20,1.1522,6.46,2024-09-20,6.36,0,是,10,9,-1.5479876160990658,同周
sh.600011,W,周,2024-04-03,1.2112,9.44,2024-05-24,8.69,7,否,10,9,-7.944915254237289,后7周
sh.600011,W,周,2023-09-28,1.2324,7.87,2023-10-27,6.9,3,否,10,9,-12.325285895806857,后3周
sh.600011,W,周,2023-08-25,1.2352,8.55,2023-10-27,6.9,8,否,10,9,-19.29824561403509,后8周
sh.600011,W,周,2025-01-17,1.3311,6.41,2025-01-17,6.15,0,是,10,9,-4.056162246489857,同周
sh.600011,W,周,2025-01-24,1.3476,6.28,2025-01-24,6.18,0,是,10,9,-1.5923566878980975,同周
