date,code,open,high,low,close,volume,amount,adjustflag,turn
2021-11-30,sh.600004,11.7000,12.8500,10.6800,10.7000,449067227,5293241055.5400,3,21.701300
2021-12-31,sh.600004,10.6700,12.2100,10.6700,12.0600,366213825,4182333584.4000,3,17.697500
2022-01-28,sh.600004,12.0400,14.0300,11.9800,13.6800,512817660,6677234104.7000,3,24.781700
2022-02-28,sh.600004,13.6800,15.0000,12.1300,12.5600,441892590,6028444449.0000,3,21.354500
2022-03-31,sh.600004,12.5200,14.3600,11.1400,12.2500,659418700,8305341503.0900,3,31.866600
2022-04-29,sh.600004,12.1300,13.6700,11.2700,11.9600,373016536,4722121757.9400,3,18.026100
2022-05-31,sh.600004,11.8500,12.8300,11.0300,12.6900,388593838,4534593393.4300,3,16.418900
2022-06-30,sh.600004,12.7400,15.1300,11.6000,14.9100,497535806,6432674539.7600,3,21.022200
2022-07-29,sh.600004,14.7100,15.0900,12.9000,12.9500,377929659,5249185446.8900,3,15.968300
2022-08-31,sh.600004,12.9500,14.0500,12.7500,13.5100,309180761,4094655114.2200,3,13.063600
2022-09-30,sh.600004,13.5800,15.0800,12.8700,14.2600,312359073,4382315558.6300,3,13.198100
2022-10-31,sh.600004,14.2100,14.9100,13.0000,13.9400,276353615,3841544961.7000,3,11.676700
2022-11-30,sh.600004,13.8400,16.6600,13.1600,14.5400,713669367,10533560281.6100,3,30.154400
2022-12-30,sh.600004,15.1000,16.5800,14.1300,15.0100,581149313,8973389148.7300,3,24.555200
2023-01-31,sh.600004,14.9900,15.6300,13.8600,13.9700,440497940,6467651484.2100,3,18.612200
2023-02-28,sh.600004,14.0400,15.1900,13.7600,14.2700,481847699,6944154239.1300,3,20.359200
2023-03-31,sh.600004,14.2500,16.1600,14.2000,15.6300,543970301,8329309211.1500,3,22.984100
2023-04-28,sh.600004,15.6100,17.0200,14.5100,15.6800,370161080,5879412003.4000,3,15.640300
2023-05-31,sh.600004,15.6900,15.6900,13.1000,14.2000,341478881,4891883381.6400,3,14.428500
2023-06-30,sh.600004,14.1200,15.0800,13.6400,14.3400,278503525,3993389225.4700,3,11.767700
2023-07-31,sh.600004,14.3400,15.3000,13.5800,14.3800,355025516,5060873529.8300,3,15.000500
2023-08-31,sh.600004,14.4600,14.7500,11.5100,11.7900,563715976,7295386379.1000,3,23.818500
2023-09-28,sh.600004,11.8100,12.2400,11.1000,11.2000,265072920,3110191873.3100,3,11.199900
2023-10-31,sh.600004,11.1700,11.1700,10.1200,10.5900,218540413,2331602667.7300,3,9.233800
2023-11-30,sh.600004,10.6000,11.1300,10.5000,11.0300,178422491,1935831139.5200,3,7.538800
2023-12-29,sh.600004,11.0400,11.0600,9.4400,9.7800,276772760,2792106427.2800,3,11.694500
2024-01-31,sh.600004,9.7800,10.0800,9.0900,9.4100,506301178,4817639165.6900,3,21.392500
2024-02-29,sh.600004,9.3800,10.5900,8.9900,10.1300,372898405,3688632930.6200,3,15.756100
2024-03-29,sh.600004,10.1200,10.6500,9.8700,10.0800,392459822,4008754102.8100,3,16.582400
2024-04-30,sh.600004,10.0900,10.5900,9.9600,10.3500,394918719,4067673849.1600,3,16.686300
2024-05-31,sh.600004,10.4300,10.5400,10.0800,10.1400,300788666,3102822072.2300,3,12.709100
2024-06-28,sh.600004,10.1400,10.3500,9.2800,9.4800,238430893,2356757760.1600,3,10.074300
2024-07-31,sh.600004,9.4900,9.9300,9.2400,9.6300,286954311,2750090492.3100,3,12.124500
2024-08-30,sh.600004,9.6200,9.7500,8.6800,9.1300,204023291,1882527936.2900,3,8.620600
2024-09-30,sh.600004,9.0200,10.5500,8.4500,10.4600,297233587,2776810402.2100,3,12.559000
2024-10-31,sh.600004,11.4800,11.4800,9.1700,9.6800,508886244,5005974449.2300,3,21.501700
2024-11-29,sh.600004,9.6500,10.3000,9.5000,9.7200,511647059,5039823023.3600,3,21.618400
2024-12-31,sh.600004,9.7200,10.0800,9.5900,9.6000,346401142,3402727719.0400,3,14.636400
2025-01-27,sh.600004,9.6100,9.6900,8.9700,9.3800,230586580,2139203725.6400,3,9.742800
2025-02-28,sh.600004,9.4400,9.4400,9.0600,9.1100,252690529,2323600296.4200,3,10.676900
2025-03-31,sh.600004,9.1000,9.1900,8.9800,9.0400,330898576,3008241811.1400,3,13.981100
2025-04-30,sh.600004,9.0600,9.1500,8.3400,9.0300,342835770,3032234140.4000,3,14.486000
2025-05-30,sh.600004,9.0400,9.7300,9.0400,9.5500,294272571,2755963856.4700,3,12.433800
2025-06-30,sh.600004,9.5600,9.6000,9.0900,9.1000,210459628,1960736772.9100,3,8.892400
2025-07-31,sh.600004,9.1000,9.7500,9.0300,9.3300,377255835,3533690144.7500,3,15.940300
2025-08-29,sh.600004,9.3300,10.1300,9.3300,10.0100,431762937,4198069544.9700,3,18.242900
2025-09-30,sh.600004,10.0100,10.0500,9.3100,9.4800,376459076,3617647870.7000,3,15.906300
2025-10-31,sh.600004,9.4900,9.8100,9.3500,9.7800,305229434,2922330219.5900,3,12.896600
2025-11-28,sh.600004,9.7800,10.4100,9.5400,9.6500,395089026,3929930705.9400,3,16.693600
2021-11-30,sh.600006,6.8500,7.6500,6.6300,7.2200,730220518,5151784707.5300,3,36.511000
2021-12-31,sh.600006,7.2300,7.5200,6.7700,6.8100,499121118,3560817386.7900,3,24.956000
2022-01-28,sh.600006,6.8100,7.1300,5.9500,6.0400,314511247,2114792666.3700,3,15.725500
2022-02-28,sh.600006,6.1500,6.6600,6.0600,6.1300,201075455,1260826524.9300,3,10.053700
2022-03-31,sh.600006,6.1800,6.2300,5.0300,5.4600,244169045,1370719807.1300,3,12.208300
2022-04-29,sh.600006,5.4500,5.5600,4.1000,4.6400,244124320,1208336398.4200,3,12.206300
2022-05-31,sh.600006,4.5800,6.8000,4.5600,6.8000,504021687,2717693595.8000,3,25.201100
2022-06-30,sh.600006,7.4800,10.1900,7.4200,7.5500,3398294820,29096472013.4500,3,169.914800
2022-07-29,sh.600006,7.5000,7.7900,6.6200,7.1600,1227685703,8842241553.0900,3,61.384300
2022-08-31,sh.600006,7.1600,7.3600,6.1300,6.1700,855582826,5846526922.9600,3,42.779200
2022-09-30,sh.600006,6.1700,6.5600,5.7000,5.7200,386921188,2405591341.0000,3,19.346100
2022-10-31,sh.600006,5.7900,6.0500,5.3300,5.4700,239773916,1371093747.7600,3,11.988600
2022-11-30,sh.600006,5.4700,6.4200,5.4700,6.4200,474038714,2798625009.3600,3,23.701900
2022-12-30,sh.600006,6.6000,6.6100,5.5600,5.5800,643018178,3953791415.5200,3,32.150900
2023-01-31,sh.600006,5.5800,6.0700,5.5200,6.0200,255894348,1484231870.6900,3,12.794600
2023-02-28,sh.600006,6.0300,6.1900,5.9000,6.0700,313242620,1897225566.2100,3,15.662200
2023-03-31,sh.600006,6.0800,7.2800,5.5600,5.7300,1061854949,6727824688.0900,3,53.092600
2023-04-28,sh.600006,5.7300,5.8800,5.2600,5.7600,331111873,1876748152.6000,3,16.555400
2023-05-31,sh.600006,5.7000,6.4500,5.4600,5.5900,474192658,2772535409.0700,3,23.709700
2023-06-30,sh.600006,5.5700,6.0600,5.5000,5.9100,362971390,2101693464.2700,3,18.148800
2023-07-31,sh.600006,5.9200,6.5200,5.8400,6.4100,687049602,4203677209.0600,3,34.352400
2023-08-31,sh.600006,6.3600,6.5000,5.4100,5.5100,427792779,2534635588.6300,3,21.389800
